Id,RevDate,RunKey,Route,SDispatch,SchedTrain,ActOrigin,ActDest,SchedOrigin,SchedDest,EOLDelay,TotalDelay,DelayCount,DelayCodes,PassDelay,PDelay,Locs,Exits,HPOT,LPOT,UPOT
253,13NOV2022,253,3,17:45,207,S50,R60,43,40,55,,,"",,,"",148,,14,5
254,13NOV2022,254,1,17:47,305,C50,Y10,14,48,206,,,"",,,"",229,2,5,6
255,13NOV2022,255,4,17:49,201,R60,S50,40,43,739,923,2,DH DH,74,48.5066666666667,A20 S40,114,55,49,49
256,13NOV2022,256,2,17:57,311,Y10,C50,48,14,168,,,"",,,"",339,,13,5
257,13NOV2022,257,1,18:00,323,C88,C60,18,15,29,,,"",,,"",7,,1,
258,13NOV2022,258,6,18:02,111,M90,S50,34,43,47,,,"",,,"",206,3,16,6
259,13NOV2022,259,5,18:02,105,S50,M90,43,34,126,,,"",,,"",151,2,7,1
260,13NOV2022,260,7,18:02,407,R60,W40,40,47,273,,,"",,,"",253,,5,
261,13NOV2022,261,14,18:03,401,Y10,W40,48,47,9,,,"",,,"",12,,2,1
262,13NOV2022,262,11,18:07,505,L30,M90,24,34,73,,,"",,,"",166,,1,
263,13NOV2022,263,8,18:10,401,W40,R60,47,40,120,,,"",,,"",323,20,17,7
264,13NOV2022,264,2,18:11,321,C60,C88,15,18,68,,,"",,,"",7,,,
265,13NOV2022,265,13,18:14,403,W40,Y10,47,48,125,,,"",,,"",3,,,
266,13NOV2022,266,12,18:14,501,M90,L30,34,24,25,,,"",,,"",131,,6,1
267,13NOV2022,267,3,18:15,209,"","",43,40,,,1,HL,,,S50,,,,
268,13NOV2022,268,1,18:17,307,C50,Y10,14,48,570,463,1,LR,74,9.53777777777778,M70,207,42,64,65
269,13NOV2022,269,4,18:19,203,R60,S50,40,43,97,,,"",,,"",118,,10,2
270,13NOV2022,270,2,18:27,301,Y10,C50,48,14,125,,,"",,,"",261,1,5,
271,13NOV2022,271,1,18:30,321,C88,C60,18,15,1,,,"",,,"",7,,,
272,13NOV2022,272,6,18:32,101,M90,S50,34,43,78,,,"",,,"",160,,7,
273,13NOV2022,273,5,18:32,107,S50,M90,43,34,261,465,1,LD,22,2.84166666666667,S50,121,85,77,75
274,13NOV2022,274,7,18:32,411,R60,W40,40,47,203,,,"",,,"",187,,9,
