Id,RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10
420,13NOV2022,487/20: 6:25-503,315,22962-73434-503-11,10,9,0,359,1909,1620,1564,1884,1588,1535,1700,365,
421,13NOV2022,487/21:28:32-503,338,22962-77430-503-12,10,9,0,359,1909,1620,1564,1884,1588,1535,1700,365,
422,13NOV2022,487/22:34:55-503,365,22962-82416-503-11,10,9,0,359,1909,1620,1564,1884,1588,1535,1700,365,
423,13NOV2022,487/23:59:60-503,387,22962-86412-503-12,10,9,0,359,1909,1620,1564,1884,1588,1535,1700,365,
424,13NOV2022,489/20:16:16-309,316,22962-73794-309-2,10,10,1,3032,4061,4056,4075,3048,4041,4155,4127,4069,3114
425,13NOV2022,489/21:45: 5-309,342,22962-78468-309-1,10,10,1,3032,4061,4056,4075,3048,4041,4155,4127,4069,3114
426,13NOV2022,489/23: 1:59-309,369,22962-82884-309-14,10,10,1,3032,4061,4056,4075,3048,4041,4155,4127,4069,3114
427,13NOV2022,489/23:11: 2-309,375,22962-84162-309-13,10,10,1,3032,4061,4056,4075,3048,4041,4155,4127,4069,3114
428,13NOV2022,489/23:28:31-309,376,22962-84594-309-2,10,10,1,3032,4061,4056,4075,3048,4041,4155,4127,4069,3114
429,13NOV2022,490/20:14:27-211,314,22962-73182-211-4,8,8,1,3131,4082,4091,4211,4083,4148,4222,3058,,
430,13NOV2022,490/21:40:30-211,341,22962-78450-211-3,8,8,1,3131,4082,4091,4211,4083,4148,4222,3058,,
431,13NOV2022,492/20:35:10-323,320,22962-74424-323-2,10,10,,,,,,,,,,,
432,13NOV2022,492/20:53:15-323,328,22962-75660-323-1,10,10,,,,,,,,,,,
433,13NOV2022,493/20:46:39-201,323,22962-74982-201-4,8,8,0,1231,1883,1710,1716,1688,1715,1722,1260,,
434,13NOV2022,493/22:11:25-201,351,22962-80250-201-3,8,8,0,1231,1883,1710,1716,1688,1715,1722,1260,,
435,13NOV2022,495/21: 5:16-321,330,22962-76416-321-2,10,10,0,1252,1879,1892,1894,391,1761,1589,1574,1536,416
436,13NOV2022,495/21:25:43-321,339,22962-77460-321-1,10,10,0,1252,1879,1892,1894,391,1761,1589,1574,1536,416
437,13NOV2022,498/21:18:38-203,333,22962-76842-203-4,8,8,1,3008,4209,4200,4085,3133,4063,4084,3054,,
438,13NOV2022,498/22:45: 2-603,25,498/22:45: 2-603,,8,1,3008,4209,4200,4085,3133,4063,4084,3054,,
439,13NOV2022,501/21:34:17-323,340,22962-78216-323-2,10,10,,,,,,,,,,,
440,13NOV2022,501/21:54:58-323,349,22962-79260-323-1,10,10,,,,,,,,,,,
441,13NOV2022,504/21:46: 9-205,343,22962-78642-205-4,8,8,0,1264,1631,1670,1633,1650,1816,1553,1241,,
442,13NOV2022,504/23:15:33-205,371,22962-83850-205-3,8,8,0,1264,1631,1670,1633,1650,1816,1553,1241,,
443,13NOV2022,508/21:58:49-203,24,508/21:58:49-203,,8,1,3159,4244,4051,4046,4215,4057,4031,3016,,
444,13NOV2022,508/22:33:19-203,361,22962-82050-203-3,8,8,1,3159,4244,4051,4046,4215,4057,4031,3016,,
445,13NOV2022,509/21:54:58-950,23,509/21:54:58-950,,8,0,376,1906,1858,1682,1829,1539,1586,1245,,
446,13NOV2022,512/22: 4:47-321,350,22962-80016-321-2,10,10,,,,,,,,,,,
447,13NOV2022,512/22:25: 6-321,358,22962-81060-321-1,10,10,,,,,,,,,,,
448,13NOV2022,513/22:16: 4-207,353,22962-80442-207-4,8,8,0,1210,1804,1580,1718,1565,1811,1595,1206,,
449,13NOV2022,513/23:42:43-207,382,22962-85668-207-3,8,8,0,1210,1804,1580,1718,1565,1811,1595,1206,,
450,13NOV2022,514/22:34:50-323,360,22962-81816-323-2,10,10,,,,,,,,,,,
451,13NOV2022,514/22:55: 7-323,368,22962-82860-323-1,10,10,,,,,,,,,,,
452,13NOV2022,517/23: 4:42-321,370,22962-83616-321-2,10,10,,,,,,,,,,,
453,13NOV2022,517/23:25:45-321,378,22962-84660-321-1,10,10,,,,,,,,,,,
454,13NOV2022,518/23:17:54-211,374,22962-84042-211-4,8,8,1,3131,4082,4091,4211,4083,4148,4222,3058,,
455,13NOV2022,519/23:36:52-323,380,22962-85416-323-2,10,10,,,,,,,,,,,
456,13NOV2022,519/23:56:33-323,26,519/23:56:33-323,,10,,,,,,,,,,,
457,13NOV2022,520/ 0: 0:15-311,386,22962-86400-311-2,10,10,0,1265,1544,1570,1826,1742,1702,1772,1666,1856,1249
458,13NOV2022,520/23:40:21-311,384,22962-85968-311-13,10,10,0,1265,1544,1570,1826,1742,1702,1772,1666,1856,1249
459,13NOV2022,521/23:48:29-507,385,22962-86076-507-11,10,10,0,328,1521,1886,1854,1692,1762,1605,1652,1732,379
460,13NOV2022,522/23:51:14-201,383,22962-85842-201-4,8,8,0,1231,1883,1710,1716,1688,1715,1722,1260,,
461,13NOV2022,524/ 0:25:47-321,27,524/ 0:25:47-321,,10,,,,,,,,,,,
462,13NOV2022,524/23:58:15-321,389,22962-87216-321-2,10,10,,,,,,,,,,,
463,13NOV2022,528/ 0:28:30-203,392,22962-88248-203-4,8,8,1,3159,4244,4051,4046,4215,4057,4031,3016,,
464,13NOV2022,529/ 0:38:10-323,396,22962-89016-323-2,10,10,,,,,,,,,,,
465,13NOV2022,529/ 0:57:56-323,28,529/ 0:57:56-323,,10,,,,,,,,,,,
466,13NOV2022,533/ 1: 8:28-321,398,22962-90756-321-2,10,10,,,,,,,,,,,
467,13NOV2022,533/ 1:24:46-321,30,533/ 1:24:46-321,,10,,,,,,,,,,,
468,13NOV2022,537/ 1:39:47-323,399,22962-92862-323-2,10,10,,,,,,,,,,,
469,13NOV2022,537/ 1:59: 6-323,31,537/ 1:59: 6-323,,10,,,,,,,,,,,
231,13NOV2022,365/11:39:31-413,12,22962-42006-413-8,10,10,1,3061,4113,4224,4065,3043,3139,4112,4165,4015,3011
